,0,1,2,3,4,5,6,7,8,9,10
43,10,4,4,3,0.008863687515258789,1,1,0,0.008863687515258789,0.008812189102172852,0.008944034576416016
44,10,4,5,0,0.9702620506286621,1,6923,NULL,0.9702620506286621,0.9693970680236816,0.9737489223480225
45,10,4,5,1,0.37192606925964355,1,2668,3,0.37192606925964355,0.37209081649780273,0.37180018424987793
46,10,4,5,2,0.0001990795135498047,1,1,3,0.0002276897430419922,0.0001990795135498047,0.00019621849060058594
47,10,4,5,3,0.014798879623413086,1,1,3,0.014795780181884766,0.014798879623413086,0.01493382453918457
48,10,5,1,0,1.1804969310760498,1,7840,NULL,1.1822841167449951,1.177961826324463,1.1804969310760498
49,10,5,1,1,0.3040781021118164,1,2016,1,0.30411314964294434,0.30359506607055664,0.3040781021118164
50,10,5,1,2,0.00019693374633789062,1,1,1,0.00021696090698242188,0.00019693374633789062,0.00019502639770507812
51,10,5,1,3,0.010173797607421875,1,1,1,0.010173797607421875,0.010155916213989258,0.010208845138549805
52,10,5,2,0,0.9896750450134277,1,6762,NULL,0.9797730445861816,0.991779088973999,0.9896750450134277
53,10,5,2,1,0.22935223579406738,1,1572,3,0.22935223579406738,0.23009514808654785,0.22611498832702637
54,10,5,2,2,0.0001990795135498047,1,1,3,0.000225067138671875,0.0001990795135498047,0.00019502639770507812
55,10,5,2,3,0.008646011352539062,1,1,3,0.008656740188598633,0.008646011352539062,0.008617162704467773
56,10,5,3,0,0.37253379821777344,1,2640,NULL,0.37401485443115234,0.37253379821777344,0.37169790267944336
57,10,5,3,1,0.06561112403869629,1,464,8,0.06572222709655762,0.06561112403869629,0.06546401977539062
58,10,5,3,2,0.00019812583923339844,1,1,8,0.00021600723266601562,0.00019812583923339844,0.00019407272338867188
59,10,5,3,3,0.006504058837890625,1,1,8,0.006504058837890625,0.006467103958129883,0.006506919860839844
60,10,5,4,0,1.2888987064361572,1,9216,NULL,1.2845501899719238,1.2907791137695312,1.2888987064361572
61,10,5,4,1,0.32239580154418945,1,2248,8,0.32265806198120117,0.3220407962799072,0.32239580154418945
62,10,5,4,2,0.00020194053649902344,1,1,8,0.00022721290588378906,0.00020194053649902344,0.00019788742065429688
63,10,5,4,3,0.007880926132202148,1,1,8,0.00789499282836914,0.007880926132202148,0.007828950881958008
64,10,5,5,0,0.4232900142669678,1,2880,NULL,0.4224996566772461,0.4232900142669678,0.4241018295288086
65,10,5,5,1,0.06903409957885742,1,480,9,0.06929779052734375,0.06903409957885742,0.06902813911437988
66,10,5,5,2,0.0001971721649169922,1,1,9,0.00022101402282714844,0.0001971721649169922,0.00019502639770507812
67,10,5,5,3,0.0025177001953125,1,1,9,0.0025501251220703125,0.0025177001953125,0.0025048255920410156
68,10,6,1,0,1.1505038738250732,1,7640,NULL,1.1501460075378418,1.1505038738250732,1.1510498523712158
69,10,6,1,1,0.2115159034729004,1,1404,8,0.212144136428833,0.2115159034729004,0.21122121810913086
70,10,6,1,2,0.00019669532775878906,1,1,8,0.00021505355834960938,0.00019669532775878906,0.00019359588623046875
71,10,6,1,3,0.005563259124755859,1,1,8,0.005625009536743164,0.005563259124755859,0.005545854568481445
72,10,6,2,0,1.0976340770721436,1,7272,NULL,1.0952610969543457,1.0976340770721436,1.098797082901001
73,10,6,2,1,0.16338491439819336,1,1080,8,0.16334795951843262,0.16363811492919922,0.16338491439819336
74,10,6,2,2,0.0001971721649169922,1,1,8,0.00021791458129882812,0.0001971721649169922,0.00019288063049316406
75,10,6,2,3,0.008402109146118164,1,1,8,0.008461952209472656,0.008402109146118164,0.008394002914428711
76,10,6,3,0,0.6529290676116943,1,4320,NULL,0.6521930694580078,0.6529290676116943,0.6644930839538574
77,10,6,3,1,0.11096072196960449,1,720,4,0.11137819290161133,0.11060285568237305,0.11096072196960449
78,10,6,3,2,0.0002028942108154297,1,1,4,0.00023293495178222656,0.0002028942108154297,0.0001971721649169922
79,10,6,3,3,0.008353710174560547,1,1,4,0.008407831192016602,0.008353710174560547,0.008344888687133789
80,10,6,4,0,0.8389010429382324,1,5736,NULL,0.8360240459442139,0.8409152030944824,0.8389010429382324
81,10,6,4,1,0.12358212471008301,1,840,8,0.12406706809997559,0.12358212471008301,0.1231389045715332
82,10,6,4,2,0.00019979476928710938,1,1,8,0.0002219676971435547,0.00019979476928710938,0.00019884109497070312
