,0,1,2,3,4,5,6,7,8,9
73,10,5,5,2,0.1516711711883545,5,1048,0.15168404579162598,0.1516711711883545,0.15078306198120117
74,10,5,5,3,0.09905314445495605,5,646,0.09904217720031738,0.09917902946472168,0.09905314445495605
75,10,6,1,1,2.1552820205688477,1,14932,2.1600542068481445,2.1552820205688477,2.153304100036621
76,10,6,1,2,0.4315011501312256,1,2976,0.4315011501312256,0.4321937561035156,0.42778801918029785
77,10,6,1,3,0.029706239700317383,1,152,0.029706239700317383,0.030045747756958008,0.029657840728759766
78,10,6,2,1,0.9096288681030273,1,5938,0.9093098640441895,0.9096288681030273,0.9099521636962891
79,10,6,2,2,0.19667816162109375,1,1290,0.1967768669128418,0.19665789604187012,0.19667816162109375
80,10,6,2,3,0.051840782165527344,1,283,0.05198407173156738,0.051840782165527344,0.05182480812072754
81,10,6,3,1,2.097269058227539,12,15136,2.0920920372009277,2.1026480197906494,2.097269058227539
82,10,6,3,2,0.5121240615844727,12,3696,0.5130069255828857,0.5121240615844727,0.5118608474731445
83,10,6,3,3,0.10809206962585449,12,720,0.10693097114562988,0.10809206962585449,0.10813593864440918
84,10,6,4,1,0.5114738941192627,3,3480,0.5125298500061035,0.509044885635376,0.5114738941192627
85,10,6,4,2,0.08804893493652344,3,600,0.08804893493652344,0.0883169174194336,0.08774399757385254
86,10,6,4,3,0.0006008148193359375,3,3,0.0006189346313476562,0.0006008148193359375,0.000598907470703125
87,10,6,5,1,3.0491139888763428,12,22464,3.0491139888763428,3.04831600189209,3.0531461238861084
88,10,6,5,2,0.6850359439849854,12,5040,0.6872758865356445,0.6850359439849854,0.6826486587524414
89,10,6,5,3,0.35390496253967285,12,2480,0.35390496253967285,0.35390210151672363,0.3539290428161621
90,10,7,1,1,4.48455810546875,10,30136,4.48455810546875,4.484560012817383,4.473325967788696
91,10,7,1,2,0.8372998237609863,10,5608,0.8370702266693115,0.8372998237609863,0.838331937789917
92,10,7,1,3,0.5861508846282959,10,3697,0.5873112678527832,0.5861508846282959,0.5853991508483887
93,10,7,2,1,2.715167999267578,14,18648,2.717658042907715,2.715167999267578,2.709460973739624
94,10,7,2,2,0.5086379051208496,14,3492,0.5086379051208496,0.5066168308258057,0.762645959854126
95,10,7,2,3,0.18176484107971191,14,1056,0.1820838451385498,0.18176484107971191,0.18140697479248047
96,10,7,3,1,3.4691240787506104,2,22836,3.472827911376953,3.4691240787506104,3.464900016784668
97,10,7,3,2,0.5889112949371338,2,3876,0.5889112949371338,0.5889301300048828,0.5881991386413574
98,10,7,3,3,0.25612306594848633,2,1565,0.25612306594848633,0.2553858757019043,0.25632786750793457
99,10,7,4,1,4.379240036010742,4,30840,4.373126029968262,4.383426904678345,4.379240036010742
100,10,7,4,2,0.6279129981994629,4,4416,0.6277608871459961,0.6279129981994629,0.6286420822143555
101,10,7,4,3,0.21304106712341309,4,1364,0.21315789222717285,0.21304106712341309,0.21217703819274902
