,0,1,2,3,4,5,6,7
78,12,8,1,1,55.95831894874573,1,317124,55.95831894874573
79,12,8,1,2,8.104977130889893,1,45936,8.104977130889893
80,12,8,1,3,0.0249481201171875,1,104,0.0249481201171875
81,12,8,2,1,165.22001695632935,10,1019856,165.22001695632935
82,12,8,2,2,21.432265043258667,10,135120,21.432265043258667
83,12,8,2,3,7.129455804824829,10,43027,7.129455804824829
84,12,8,3,1,105.2158362865448,40,666840,105.2158362865448
85,12,8,3,2,11.435299158096313,40,72096,11.435299158096313
86,12,8,3,3,4.433798789978027,40,27192,4.433798789978027
87,12,8,4,1,76.9263563156128,1,437664,76.9263563156128
88,12,8,4,2,10.80388617515564,1,61104,10.80388617515564
89,12,8,4,3,0.11698198318481445,1,529,0.11698198318481445
90,12,8,5,1,51.431516885757446,22,293568,51.431516885757446
91,12,8,5,2,6.611501932144165,22,37800,6.611501932144165
92,12,8,5,3,0.672468900680542,22,3354,0.672468900680542
93,12,9,1,1,663.3665728569031,535896,4329360,663.3665728569031
94,12,9,1,2,82.17772722244263,535896,535896,82.17772722244263
95,12,9,1,3,84.02747917175293,535896,535896,84.02747917175293
96,12,9,2,1,309.64803409576416,18,1833840,309.64803409576416
97,12,9,2,2,41.523346185684204,18,244800,41.523346185684204
98,12,9,2,3,20.649658918380737,18,111756,20.649658918380737
99,12,9,3,1,281.71351385116577,3,1699380,281.71351385116577
100,12,9,3,2,33.4084210395813,3,201840,33.4084210395813
101,12,9,3,3,0.801814079284668,3,3668,0.801814079284668
102,12,9,4,1,506.31405687332153,9,3216066,506.31405687332153
103,12,9,4,2,70.97133326530457,9,450708,70.97133326530457
104,12,9,4,3,35.955734968185425,9,218640,35.955734968185425
105,12,9,5,1,253.55498480796814,30,1503312,253.55498480796814
106,12,9,5,2,30.10027003288269,30,176928,30.10027003288269
107,12,9,5,3,7.847495079040527,30,40134,7.847495079040527
