,0,1,2,3,4,5,6,7
114,11,8,4,1,45.044697999954224,45,279864,45.044697999954224
115,11,8,4,2,45.17011117935181,45,279864,45.17011117935181
116,11,8,4,3,28.565675020217896,45,165894,28.565675020217896
117,11,8,5,1,52.704386949539185,6,346116,52.704386949539185
118,11,8,5,2,52.64174008369446,6,346116,52.64174008369446
119,11,8,5,3,27.26056718826294,6,170730,27.26056718826294
120,11,9,1,1,84.00073599815369,61,543480,84.00073599815369
121,11,9,1,2,84.24281215667725,61,543480,84.24281215667725
122,11,9,1,3,43.68707513809204,61,257778,43.68707513809204
123,11,9,2,1,95.56085014343262,36,649857,95.56085014343262
124,11,9,2,2,96.32779288291931,36,649857,96.32779288291931
125,11,9,2,3,85.4630069732666,36,552691,85.4630069732666
126,11,9,3,1,222.13379001617432,36960,1478400,222.13379001617432
127,11,9,3,2,222.0377869606018,36960,1478400,222.0377869606018
128,11,9,3,3,171.5922338962555,36960,1120176,171.5922338962555
129,11,9,4,1,129.34787726402283,74520,881280,129.34787726402283
130,11,9,4,2,128.870423078537,74520,881280,128.870423078537
131,11,9,4,3,117.107497215271,74520,769680,117.107497215271
132,11,9,5,1,62.05499529838562,5,378720,62.05499529838562
133,11,9,5,2,61.74511218070984,5,378720,61.74511218070984
134,11,9,5,3,14.451737880706787,5,78653,14.451737880706787
135,11,10,1,1,285.4010751247406,2,1909612,285.4010751247406
136,11,10,1,2,287.1756341457367,2,1909612,287.1756341457367
137,11,10,1,3,251.96184587478638,2,1597888,251.96184587478638
138,11,10,2,1,358.05404019355774,2,2346390,358.05404019355774
139,11,10,2,2,356.2148721218109,2,2346390,356.2148721218109
140,11,10,2,3,140.39397025108337,2,846653,140.39397025108337
141,11,10,3,1,359.43408203125,35,2363992,359.43408203125
142,11,10,3,2,359.86898612976074,35,2363992,359.86898612976074
143,11,10,3,3,119.10080909729004,35,731700,119.10080909729004
144,11,10,4,1,220.19087076187134,1,1441666,220.19087076187134
145,11,10,4,2,219.26006698608398,1,1441666,219.26006698608398
146,11,10,4,3,107.86391305923462,1,647565,107.86391305923462
